303	-0.07543	0.1728	-0.5229	
304	-0.1561	-0.01763	-0.5362	
305	-0.1705	0.005415	-0.5119	
306	-0.175	-0.02572	-0.4525	
307	-0.2266	-0.346	-0.4245	
308	-0.06408	-0.4006	-0.3506	
309	-0.1494	-0.09698	-0.3908	
310	-0.07022	0.1652	-0.5405	
311	-0.1638	0.2238	-0.3809	
312	-0.07679	-0.4339	-0.4094	
313	0.004158	0.05672	-0.6106	
314	-0.02102	-0.443	-0.1808	
315	0.01554	-0.1265	-0.4795	
316	-0.2689	-0.3083	-0.3014	
317	-0.2671	-0.4294	-0.07698	
318	0.04809	-0.6076	-0.05756	
319	0.05446	-0.3923	-0.2376	
320	0.2933	-0.03899	-0.2797	
321	-0.2551	-0.0655	-0.541	
322	-0.1406	-0.34	-0.4972	
323	-0.1291	0.1419	-0.211	
324	0.6221	-0.3301	0.06651	
325	0.6896	-0.06413	-0.1837	
326	0.4489	-0.2518	-0.3087	
327	-0.1226	0.1707	-0.6449	
328	0.2042	0.2814	-0.3129	
329	-0.1823	-0.7169	-0.2022	
330	0.1142	0.1414	-0.02692	
331	-0.1123	0.01541	-0.08687	
332	-0.08473	-0.1512	0.1362	
333	-0.2159	-0.4185	0.116	
334	-0.1149	-0.2926	0.108	
335	-0.01205	-0.098	0.1796	
336	-0.01099	0.02621	0.07902	
337	9.984E-4	0.01386	0.2356	
338	0.06836	0.2673	0.3257	
339	-0.02361	0.301	0.2021	
340	0.1463	0.335	0.4446	
341	0.192	0.2828	0.3523	
342	0.3862	0.6218	0.3396	
343	0.1542	0.5506	-0.1014	
344	0.2349	0.5018	-0.005122	
345	0.204	0.6687	0.126	
346	0.3133	-0.004505	-0.2079	
347	0.1351	-0.3742	-0.4831	
348	0.216	0.04939	-0.5927	
349	0.0955	0.4425	-0.69	
350	-0.2865	0.1678	-0.5887	
351	0.6657	0.1068	0.008225	
352	0.8569	-0.03296	0.2847	
353	0.7842	-0.09413	0.2098	
354	0.8993	-0.448	0.3157	
355	0.771	-0.7165	-0.2825	
356	0.4815	-0.166	-0.3311	
357	0.3294	0.2822	-0.2717	
358	0.3178	-0.3469	-0.5375	
359	0.404	0.06066	-0.5279	
360	0.5947	0.2205	-0.3975	
361	0.5152	-0.3147	-0.1922	
362	0.5253	-0.2301	-0.1326	
363	0.1309	0.2915	-0.3774	
364	0.1317	0.3675	0.1241	
365	0.001909	0.1284	-0.01161	
